#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_SINGLE_LAYER"
4.237420559E-01 7.589396238E-01 4.282482341E-02
4.211147428E-01 7.595587373E-01 3.972822055E-02
4.190662503E-01 7.600885034E-01 3.752337396E-02
4.173163772E-01 7.604031563E-01 3.428146616E-02
4.159811437E-01 7.606678009E-01 3.187596053E-02
4.146763086E-01 7.608847618E-01 2.887992747E-02
4.138907790E-01 7.609476447E-01 2.647215687E-02
4.130332172E-01 7.610327601E-01 2.363840304E-02
4.126054943E-01 7.609811425E-01 2.137843333E-02
4.125013649E-01 7.607330680E-01 1.848636940E-02
4.124372900E-01 7.605459094E-01 1.634106040E-02
4.126985371E-01 7.601715326E-01 1.364994235E-02
4.128348827E-01 7.599302530E-01 1.168862544E-02
4.131700099E-01 7.595854402E-01 9.310078807E-03
4.134033918E-01 7.593405843E-01 7.553297561E-03
4.139578640E-01 7.589327693E-01 5.309824366E-03
4.143811464E-01 7.586246729E-01 3.644238226E-03
4.150998592E-01 7.581809759E-01 1.573308953E-03
4.156503975E-01 7.578422427E-01 3.754746285E-05
4.163471758E-01 7.574686408E-01 -1.861664816E-03
4.168660939E-01 7.571899295E-01 -3.267966444E-03
4.174861908E-01 7.569192648E-01 -5.061188713E-03
4.179461598E-01 7.567172050E-01 -6.387599278E-03
4.185488522E-01 7.565199137E-01 -8.109929040E-03
4.190125465E-01 7.563617826E-01 -9.376117028E-03
4.195843041E-01 7.562538385E-01 -1.119523589E-02
4.200300574E-01 7.561581135E-01 -1.252520178E-02
4.206189215E-01 7.561243773E-01 -1.450780872E-02
4.210427701E-01 7.561023235E-01 -1.597415656E-02
4.218467176E-01 7.560458779E-01 -1.808840595E-02
4.223768115E-01 7.560364604E-01 -1.969435625E-02
4.235369265E-01 7.558997869E-01 -2.190612070E-02
4.243457615E-01 7.558206916E-01 -2.358320355E-02
4.259795845E-01 7.555684447E-01 -2.585139871E-02
4.271943271E-01 7.553697228E-01 -2.752118371E-02
4.293885827E-01 7.549950480E-01 -2.983264439E-02
4.310238063E-01 7.546999454E-01 -3.152030706E-02
4.338860512E-01 7.541980147E-01 -3.377145529E-02
4.360018671E-01 7.538132668E-01 -3.541652858E-02
4.397050142E-01 7.531574368E-01 -3.713444620E-02
4.424349964E-01 7.526591420E-01 -3.837639466E-02
4.469617307E-01 7.519536614E-01 -3.911668062E-02
4.502817690E-01 7.514244318E-01 -3.965104371E-02
4.554878771E-01 7.508773208E-01 -3.959792107E-02
4.592909813E-01 7.504695058E-01 -3.955650330E-02
4.653261602E-01 7.501577139E-01 -3.936941177E-02
4.697279036E-01 7.499232888E-01 -3.920290247E-02
4.771098793E-01 7.497538924E-01 -3.945799544E-02
4.824879467E-01 7.496246099E-01 -3.960131109E-02
4.895375967E-01 7.493578792E-01 -3.763312101E-02
4.992341399E-01 7.489895225E-01 -3.486301005E-02
5.113468766E-01 7.486591339E-01 -3.203612193E-02
5.201650858E-01 7.484123111E-01 -2.989980765E-02
5.347865820E-01 7.483839989E-01 -3.076391481E-02
5.454343557E-01 7.483533025E-01 -3.124790825E-02
5.634623766E-01 7.483533025E-01 -3.247846663E-02
5.765715241E-01 7.483533025E-01 -3.337327018E-02
5.983712673E-01 7.483533025E-01 -3.448239341E-02
6.142230034E-01 7.483533025E-01 -3.528889641E-02
6.398475170E-01 7.483533025E-01 -3.615244478E-02
6.584804058E-01 7.483533025E-01 -3.678037226E-02
6.875910163E-01 7.483533025E-01 -3.721355274E-02
7.087588310E-01 7.483533025E-01 -3.752854466E-02
7.405574322E-01 7.483533025E-01 -3.731336817E-02
7.636798620E-01 7.483533025E-01 -3.715690225E-02
7.969489098E-01 7.483533025E-01 -3.615220264E-02
8.211405873E-01 7.483533025E-01 -3.542162850E-02
8.544095755E-01 7.483533025E-01 -3.368447348E-02
8.786012530E-01 7.483533025E-01 -3.242129460E-02
9.103998542E-01 7.483533025E-01 -3.020744771E-02
9.335222840E-01 7.483533025E-01 -2.859763987E-02
9.626328945E-01 7.483533025E-01 -2.622191422E-02
9.838007092E-01 7.483533025E-01 -2.449439839E-02
1.009425282E+00 7.483533025E-01 -2.218820713E-02
1.028058171E+00 7.483533025E-01 -2.051125281E-02
1.049857855E+00 7.483533025E-01 -1.839047484E-02
1.065709591E+00 7.483533025E-01 -1.684834436E-02
1.083737731E+00 7.483533025E-01 -1.496099401E-02
1.096846819E+00 7.483533025E-01 -1.358860172E-02
1.111424446E+00 7.483533025E-01 -1.195833366E-02
1.122024655E+00 7.483533025E-01 -1.077287830E-02
1.130451918E+00 7.483533025E-01 -9.781222790E-03
1.142041206E+00 7.483533025E-01 -8.417471312E-03
1.151143670E+00 7.483533025E-01 -7.311581634E-03
1.157762647E+00 7.483533025E-01 -6.507430691E-03
1.164854884E+00 7.483533025E-01 -5.633932073E-03
1.170011997E+00 7.483533025E-01 -4.998764955E-03
1.175511956E+00 7.483533025E-01 -4.321247339E-03
1.179511189E+00 7.483533025E-01 -3.828588175E-03
1.183767080E+00 7.483533025E-01 -3.305956488E-03
1.186861634E+00 7.483533025E-01 -2.925923094E-03
1.190153360E+00 7.483533025E-01 -2.520931186E-03
1.192546964E+00 7.483533025E-01 -2.226440003E-03
1.195094943E+00 7.483533025E-01 -1.910953782E-03
1.196947575E+00 7.483533025E-01 -1.681547030E-03
1.198921919E+00 7.483533025E-01 -1.435156213E-03
1.200357437E+00 7.483533025E-01 -1.255992451E-03
1.201888084E+00 7.483533025E-01 -1.063462463E-03
1.203001142E+00 7.483533025E-01 -9.234635509E-04
1.204186678E+00 7.483533025E-01 -7.732717786E-04
1.205048800E+00 7.483533025E-01 -6.640593638E-04
1.205963492E+00 7.483533025E-01 -5.474816426E-04
1.206628799E+00 7.483533025E-01 -4.627118178E-04
1.207328439E+00 7.483533025E-01 -3.731779289E-04
1.207837224E+00 7.483533025E-01 -3.080730967E-04
1.208362937E+00 7.483533025E-01 -2.406448621E-04
1.208745122E+00 7.483533025E-01 -1.916141919E-04
1.209126711E+00 7.483533025E-01 -1.426066883E-04
1.209404230E+00 7.483533025E-01 -1.069707287E-04
1.209662914E+00 7.483533025E-01 -7.372624532E-05
1.209851027E+00 7.483533025E-01 -4.955241093E-05
1.210000873E+00 7.483533025E-01 -3.028701758E-05
1.210109830E+00 7.483533025E-01 -1.627812526E-05
1.210145593E+00 7.483533025E-01 -9.424830751E-06
1.210194707E+00 7.483533025E-01 0.000000000E+00

ZONE T="SLICE_Y_1p4_BINS01_KS_1mm_SINGLE_LAYER"
1.393216133E+00 1.399795294E+00 0.000000000E+00
1.393188596E+00 1.399795294E+00 5.283345217E-06
1.393152356E+00 1.399795294E+00 1.223921845E-05
1.393068314E+00 1.399795294E+00 2.303895963E-05
1.392957687E+00 1.399795294E+00 3.725753413E-05
1.392812729E+00 1.399795294E+00 5.589363354E-05
1.392621756E+00 1.399795294E+00 8.042929403E-05
1.392407894E+00 1.399795294E+00 1.079017748E-04
1.392126203E+00 1.399795294E+00 1.440711203E-04
1.391831636E+00 1.399795294E+00 1.818698656E-04
1.391443610E+00 1.399795294E+00 2.316344035E-04
1.391051412E+00 1.399795294E+00 2.818250505E-04
1.390534997E+00 1.399795294E+00 3.479043662E-04
1.390022159E+00 1.399795294E+00 4.132551549E-04
1.389346957E+00 1.399795294E+00 4.992937902E-04
1.388682365E+00 1.399795294E+00 5.834878539E-04
