#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
-4.740466538E-04 9.143999815E-01 -2.570113633E-03
1.700053806E-03 9.143999815E-01 -6.167485844E-03
1.700059394E-03 9.143999815E-01 -6.167495158E-03
4.707886372E-03 9.143999815E-01 -9.550538845E-03
4.707893822E-03 9.143999815E-01 -9.550547227E-03
8.267303929E-03 9.143999815E-01 -1.227024011E-02
8.267313242E-03 9.143999815E-01 -1.227024663E-02
1.204899698E-02 9.143999815E-01 -1.436606981E-02
1.204900630E-02 9.143999815E-01 -1.436607540E-02
1.591150463E-02 9.143999815E-01 -1.607399806E-02
1.591151394E-02 9.143999815E-01 -1.607400179E-02
1.979381032E-02 9.143999815E-01 -1.754339784E-02
1.979381964E-02 9.143999815E-01 -1.754340157E-02
2.368124761E-02 9.143999815E-01 -1.884346083E-02
2.368125692E-02 9.143999815E-01 -1.884346455E-02
2.756688185E-02 9.143999815E-01 -2.001963370E-02
2.756689116E-02 9.143999815E-01 -2.001963742E-02
3.172766045E-02 9.143999815E-01 -2.020718157E-02
3.172767162E-02 9.143999815E-01 -2.020718157E-02
3.627775609E-02 9.143999815E-01 -1.891632378E-02
3.627776727E-02 9.143999815E-01 -1.891632006E-02
4.054461047E-02 9.143999815E-01 -1.831644773E-02
4.054462165E-02 9.143999815E-01 -1.831644587E-02
4.440962151E-02 9.143999815E-01 -1.894416474E-02
4.440963268E-02 9.143999815E-01 -1.894416660E-02
4.826433212E-02 9.143999815E-01 -1.955755427E-02
4.826434329E-02 9.143999815E-01 -1.955755614E-02
5.211362243E-02 9.143999815E-01 -2.014807425E-02
5.211363360E-02 9.143999815E-01 -2.014807612E-02
5.595960841E-02 9.143999815E-01 -2.071477659E-02
5.595961958E-02 9.143999815E-01 -2.071477845E-02
5.979821831E-02 9.143999815E-01 -2.128267847E-02
5.979822949E-02 9.143999815E-01 -2.128268033E-02
6.360839307E-02 9.143999815E-01 -2.196361125E-02
6.360840052E-02 9.143999815E-01 -2.196361311E-02
6.739941239E-02 9.143999815E-01 -2.272826247E-02
6.739941984E-02 9.143999815E-01 -2.272826433E-02
7.119712234E-02 9.143999815E-01 -2.345905639E-02
7.119712979E-02 9.143999815E-01 -2.345905825E-02
7.500081509E-02 9.143999815E-01 -2.415804565E-02
7.500082254E-02 9.143999815E-01 -2.415804751E-02
7.880991697E-02 9.143999815E-01 -2.482702397E-02
7.880992442E-02 9.143999815E-01 -2.482702583E-02
8.262389153E-02 9.143999815E-01 -2.546760812E-02
8.262389898E-02 9.143999815E-01 -2.546760999E-02
8.642810583E-02 9.143999815E-01 -2.607911639E-02
8.642811328E-02 9.143999815E-01 -2.607911825E-02
8.642812073E-02 9.143999815E-01 -2.607912011E-02
9.025506675E-02 9.143999815E-01 -2.666770294E-02
9.025507420E-02 9.143999815E-01 -2.666770481E-02
9.421530366E-02 9.143999815E-01 -2.725013159E-02
9.421531111E-02 9.143999815E-01 -2.725013345E-02
9.837739170E-02 9.143999815E-01 -2.783498913E-02
9.837739915E-02 9.143999815E-01 -2.783499099E-02
1.027514338E-01 9.143999815E-01 -2.842104249E-02
1.027514488E-01 9.143999815E-01 -2.842104435E-02
1.073480248E-01 9.143999815E-01 -2.900695801E-02
1.073480397E-01 9.143999815E-01 -2.900695987E-02
1.121782959E-01 9.143999815E-01 -2.959129214E-02
1.121783108E-01 9.143999815E-01 -2.959129401E-02
1.172538847E-01 9.143999815E-01 -3.017245606E-02
1.172538996E-01 9.143999815E-01 -3.017245792E-02
1.225870177E-01 9.143999815E-01 -3.074874915E-02
1.225870326E-01 9.143999815E-01 -3.074875101E-02
1.281905472E-01 9.143999815E-01 -3.131834418E-02
1.281905621E-01 9.143999815E-01 -3.131834418E-02
1.340779066E-01 9.143999815E-01 -3.187929839E-02
1.340779215E-01 9.143999815E-01 -3.187929839E-02
1.402631998E-01 9.143999815E-01 -3.242950886E-02
1.402632147E-01 9.143999815E-01 -3.242950886E-02
1.467612386E-01 9.143999815E-01 -3.296674788E-02
1.467612535E-01 9.143999815E-01 -3.296674788E-02
1.535875499E-01 9.143999815E-01 -3.348860890E-02
1.535875648E-01 9.143999815E-01 -3.348860890E-02
1.607583910E-01 9.143999815E-01 -3.399255127E-02
